 ,X,Y
1,300.005,366.844
2,279.598,96.369
3,357.500,92.500
4,374.000,98.500
5,246.500,103.000
6,256.241,106.000
7,367.500,104.000
8,381.654,105.346
9,244.380,115.820
10,382.227,121.045
11,236.654,140.231
12,209.625,143.375
13,207.206,151.382
14,324.109,177.031
15,219.500,169.500
16,416.700,175.100
17,213.538,193.528
18,184.929,179.357
19,281.578,186.370
20,279.767,213.014
21,346.488,219.292
22,254.015,215.235
23,283.630,259.726
24,265.816,252.658
25,373.808,258.462
26,324.038,266.363
27,253.886,286.352
28,329.529,293.088
29,310.652,295.130
30,342.000,298.000
31,325.663,315.381
32,288.962,308.654
33,213.813,317.476
34,201.357,331.071
35,213.188,340.562
36,216.500,345.500
37,151.500,364.500
38,466.641,397.391
39,497.857,450.201
40,532.568,436.364
41,286.000,464.000
42,126.269,478.000
43,373.000,479.500
44,334.274,307.336
45,300.016,306.726
46,193.000,474.000
47,320.932,304.909
48,331.779,305.942
49,303.250,306.125
