 ,X,Y
1,346.750,26.550
2,334.000,32.500
3,313.147,174.366
4,345.441,38.926
5,264.500,37.500
6,320.283,38.978
7,248.500,50.000
8,193.867,84.500
9,306.348,112.978
10,172.167,115.500
11,160.562,226.375
12,185.068,244.446
13,189.000,256.000
14,189.611,264.167
15,196.131,305.578
16,434.318,279.591
17,351.409,290.136
18,269.500,291.500
19,449.500,295.000
20,432.259,300.793
21,316.900,329.337
22,430.542,317.417
23,189.500,317.500
24,196.805,349.857
25,289.136,344.591
26,340.000,357.214
27,306.500,366.500
28,205.500,399.500
29,326.421,407.985
30,327.500,431.500
31,416.222,440.611
32,329.500,444.000
33,395.375,470.625
34,386.417,478.208
35,282.611,207.056
36,333.302,272.314
37,296.125,274.589
38,319.952,321.218
39,317.137,317.738
40,317.260,318.280
