 ,X,Y
1,315.227,42.500
2,320.935,56.109
3,265.500,69.500
4,332.561,72.924
5,320.630,74.543
6,387.308,80.538
7,287.233,82.167
8,402.567,89.633
9,375.887,127.744
10,413.409,111.136
11,416.783,131.200
12,210.357,135.378
13,298.055,363.342
14,209.375,144.167
15,191.500,160.000
16,432.029,169.147
17,187.864,170.591
18,362.155,178.651
19,287.208,201.677
20,392.395,177.184
21,427.329,178.186
22,264.000,179.375
23,440.722,189.000
24,366.259,206.796
25,258.285,206.368
26,328.141,235.406
27,447.313,252.030
28,345.320,265.611
29,312.822,266.049
30,449.038,270.885
31,175.500,275.500
32,447.500,280.000
33,326.846,310.180
34,445.450,289.600
35,445.500,304.197
36,161.500,303.500
37,200.093,310.426
38,217.000,314.786
39,173.696,323.405
40,448.841,322.977
41,221.816,324.526
42,179.309,363.487
43,444.000,331.500
44,453.467,338.217
45,164.500,333.500
46,445.000,347.800
47,458.750,352.675
48,216.045,355.872
49,471.031,362.078
50,447.260,359.460
51,203.214,362.000
52,424.500,363.500
53,463.611,362.278
54,448.524,372.030
55,201.543,377.000
56,191.500,376.500
57,477.346,381.372
58,464.806,390.228
59,207.731,384.269
60,443.561,386.500
61,451.333,393.667
62,203.973,396.573
63,476.833,394.167
64,489.786,401.000
65,179.975,412.500
66,474.428,412.000
67,307.885,411.910
68,159.319,426.833
69,224.833,434.167
70,177.167,438.750
71,241.915,446.023
72,179.129,451.371
73,482.000,466.500
74,183.711,469.658
75,250.048,475.565
76,237.214,479.071
77,416.000,479.167
78,178.000,479.500
79,476.500,479.500
80,331.290,305.307
