 ,X,Y
1,417.127,318.141
2,213.890,331.779
3,289.850,84.050
4,389.556,89.556
5,263.571,101.024
6,420.500,107.500
7,431.605,119.921
8,245.322,123.611
9,216.324,127.206
10,437.702,149.899
11,209.000,151.500
12,450.703,179.336
13,453.735,169.912
14,199.012,175.358
15,187.433,169.433
16,179.167,182.750
17,188.865,192.372
18,274.677,188.198
19,346.500,185.500
20,468.627,204.007
21,170.625,201.812
22,375.980,212.802
23,280.592,223.117
24,474.000,219.000
25,486.068,245.527
26,181.008,244.270
27,477.661,262.693
28,179.127,261.634
29,183.500,275.500
30,346.333,281.421
31,317.046,283.454
32,479.639,287.625
33,190.167,303.833
34,496.000,310.250
35,332.768,329.518
36,495.980,318.860
37,495.421,338.500
38,169.300,342.700
39,487.616,359.819
40,193.191,362.900
41,202.233,371.700
42,192.111,375.222
43,492.000,376.500
44,231.133,399.600
45,165.438,393.750
46,345.630,399.357
47,511.500,398.500
48,520.269,401.654
49,526.500,409.000
50,223.896,415.821
51,518.535,448.550
52,499.262,422.500
53,486.833,425.833
54,458.000,434.786
55,467.000,437.667
56,428.704,474.112
57,320.353,475.657
58,548.100,471.300
59,348.986,477.471
60,475.125,476.531
61,440.786,478.143
62,336.682,327.517
63,334.870,327.522
64,334.152,328.318
